INT	STRING	INT	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
26	饰品商店	0	40	100	1	1	1	1	1	100000	60	10131001	1	-1	10131002	1	-1	10131003	1	-1	20301001	1	-1	20301002	1	-1	20301003	1	-1	20304001	1	-1	20304002	1	-1	20304003	1	-1	20304004	1	-1	20304017	1	-1	20304018	1	-1	20304019	1	-1	20304020	1	-1	20304021	1	-1	20304022	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
27	饰品商店	0	40	100	1	1	1	1	1	100000	60	30602001	1	-1	30602004	1	-1	30603004	1	-1	30604004	1	-1	30605004	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	1	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
28	饰品商店	0	40	100	1	1	1	1	1	3600000	60	20101009	1	20	20101010	1	20	20101011	1	20	20103004	1	20	20104004	1	20	20105004	1	20	20107009	1	20	20107010	1	20	20304008	1	20	0	1	-1	1	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
31	药品商店	0	40	100	1	1	1	1	1	3600000	60	50101001	1	1	50101002	1	1	50102001	1	1	50102002	1	1	50102003	1	1	50102004	1	1	50103001	1	1	50104002	1	1	30506001	1	-1	30506011	1	-1	30506021	1	-1	30506031	1	-1	30506041	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
32	药品商店	0	40	100	1	1	1	1	1	3600000	60	50111001	1	1	50111002	1	1	50112001	1	1	50112002	1	1	50112003	1	1	50112004	1	1	50113001	1	1	50113002	1	1	50113003	1	1	50113004	1	1	50113005	1	1	50114001	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
41	药品商店	0	40	100	1	1	1	1	1	3600000	60	30701001	1	2	30701010	1	2	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
42	药品商店	0	40	100	1	1	1	1	1	3600000	60	30701002	1	2	30701011	1	2	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
43	药品商店	0	40	100	1	1	1	1	1	3600000	60	30701003	1	2	30701012	1	2	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
44	药品商店	0	40	100	1	1	1	1	1	3600000	60	30701004	1	2	30701013	1	2	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
45	药品商店	0	40	100	1	1	1	1	1	3600000	60	30701005	1	2	30701014	1	2	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
46	药品商店	0	40	100	1	1	1	1	1	3600000	60	30701006	1	2	30701015	1	2	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
47	食品商店	0	40	100	1	1	1	1	1	3600000	60	30701007	1	2	30701016	1	2	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
48	食品商店	0	40	100	1	1	1	1	1	3600000	60	30701008	1	2	30701017	1	2	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
49	食品商店	0	40	100	1	1	1	1	1	3600000	60	30701009	1	2	30701018	1	2	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
50	食品商店	0	40	100	1	1	1	1	1	3600000	0	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
51	食品商店	0	40	100	1	1	1	1	1	100000	60	30307059	1	-1	30307011	1	-1	30307032	1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
52	食品商店	0	40	100	1	1	1	1	1	100000	60	30307026	1	-1	30307041	1	-1	30307044	1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
53	食品商店	0	40	100	1	1	1	1	1	100000	60	30307014	1	-1	30307047	1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
54	食品商店	0	40	100	1	1	1	1	1	100000	60	30307020	1	-1	30307035	1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
55	食品商店	0	40	100	1	1	1	1	1	100000	60	30307089	1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
56	食品商店	0	40	100	1	1	1	1	1	100000	60	30307001	1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
57	杂货商店	0	40	100	1	1	1	1	1	100000	60	30307023	1	-1	30307038	1	-1	30307053	1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
58	杂货商店	0	40	100	1	1	1	1	1	100000	60	30307029	1	-1	30307056	1	-1	30307101	1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
59	杂货商店	0	40	100	1	1	1	1	1	100000	60	30307017	1	-1	30307050	1	-1	30307069	1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
61	杂货商店	0	40	100	1	1	1	1	1	100000	60	20308001	1	-1	20308002	1	-1	20308011	1	-1	20308012	1	-1	20308021	1	-1	20308022	1	-1	20308031	1	-1	20308032	1	-1	20308041	1	-1	20308042	1	-1	20308051	1	-1	20308052	1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
62	杂货商店	0	40	100	1	1	1	1	1	100000	60	20308061	1	-1	20308062	1	-1	20308071	1	-1	20308072	1	-1	20308081	1	-1	20308082	1	-1	20308091	1	-1	20308092	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
63	杂货商店	0	40	100	1	1	1	1	1	100000	60	20308101	1	-1	20308102	1	-1	20308111	1	-1	20308112	1	-1	20308121	1	-1	20308122	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
64	杂货商店	0	40	100	1	1	1	1	1	100000	60	20308002	1	-1	20308003	1	-1	20308012	1	-1	20308013	1	-1	20308022	1	-1	20308023	1	-1	20308032	1	-1	20308033	1	-1	20308042	1	-1	20308043	1	-1	20308052	1	-1	20308053	1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
