INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	STRING
665	10301	玄阴至阳	1	1	0	15000	-1	-1	消耗mp	4	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	410	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：5点#r瞬间释放#r范围攻击，外功攻击增加60点#r#cFF6600需要装备武器	消耗气：5点#r瞬间释放#r范围攻击，外功攻击增加60点#r#cFF6600需要装备武器
666	10302	玄阴至阳	2	2	0	15000	-1	-1	消耗mp	4	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	411	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：9点#r瞬间释放#r范围攻击，外功攻击增加99点#r#cFF6600需要装备武器	消耗气：9点#r瞬间释放#r范围攻击，外功攻击增加99点#r#cFF6600需要装备武器
667	10303	玄阴至阳	3	3	0	15000	-1	-1	消耗mp	4	23	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	412	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：12点#r瞬间释放#r范围攻击，外功攻击增加138点#r#cFF6600需要装备武器	消耗气：12点#r瞬间释放#r范围攻击，外功攻击增加138点#r#cFF6600需要装备武器
668	10304	玄阴至阳	4	4	0	15000	-1	-1	消耗mp	4	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	413	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：16点#r瞬间释放#r范围攻击，外功攻击增加177点#r#cFF6600需要装备武器	消耗气：16点#r瞬间释放#r范围攻击，外功攻击增加177点#r#cFF6600需要装备武器
669	10305	玄阴至阳	5	5	0	15000	-1	-1	消耗mp	4	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	414	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：20点#r瞬间释放#r范围攻击，外功攻击增加217点#r#cFF6600需要装备武器	消耗气：20点#r瞬间释放#r范围攻击，外功攻击增加217点#r#cFF6600需要装备武器
670	10306	玄阴至阳	6	6	0	15000	-1	-1	消耗mp	4	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	415	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：23点#r瞬间释放#r范围攻击，外功攻击增加256点#r#cFF6600需要装备武器	消耗气：23点#r瞬间释放#r范围攻击，外功攻击增加256点#r#cFF6600需要装备武器
671	10307	玄阴至阳	7	7	0	15000	-1	-1	消耗mp	4	39	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	416	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：27点#r瞬间释放#r范围攻击，外功攻击增加295点#r#cFF6600需要装备武器	消耗气：27点#r瞬间释放#r范围攻击，外功攻击增加295点#r#cFF6600需要装备武器
672	10308	玄阴至阳	8	8	0	15000	-1	-1	消耗mp	4	43	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	417	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：30点#r瞬间释放#r范围攻击，外功攻击增加334点#r#cFF6600需要装备武器	消耗气：30点#r瞬间释放#r范围攻击，外功攻击增加334点#r#cFF6600需要装备武器
673	10309	玄阴至阳	9	9	0	15000	-1	-1	消耗mp	4	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	418	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：34点#r瞬间释放#r范围攻击，外功攻击增加273点#r#cFF6600需要装备武器	消耗气：34点#r瞬间释放#r范围攻击，外功攻击增加273点#r#cFF6600需要装备武器
674	10310	玄阴至阳	10	10	0	15000	-1	-1	消耗mp	4	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	419	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：38点#r瞬间释放#r范围攻击，外功攻击增加413点#r#cFF6600需要装备武器	消耗气：38点#r瞬间释放#r范围攻击，外功攻击增加413点#r#cFF6600需要装备武器
675	10311	玄阴至阳	11	11	0	15000	-1	-1	消耗mp	4	55	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	420	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：42点#r瞬间释放#r范围攻击，外功攻击增加452点#r#cFF6600需要装备武器	消耗气：42点#r瞬间释放#r范围攻击，外功攻击增加252点#r#cFF6600需要装备武器
676	10312	玄阴至阳	12	12	0	15000	-1	-1	消耗mp	4	59	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	421	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：46点#r瞬间释放#r范围攻击，外功攻击增加491点#r#cFF6600需要装备武器	消耗气：46点#r瞬间释放#r范围攻击，外功攻击增加491点#r#cFF6600需要装备武器
689	10501	天地同寿	1	1	0	5000	-1	-1	消耗mp	4	6	-1	狂暴状态	0	4	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	422	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：6点#r有效距离：2米#r瞬间释放#r狂暴三连斩，外功攻击增加47点#r#cFF6600需要装备武器，需要狂暴状态	消耗气：6点     有效距离：2米#r瞬间释放#r狂暴三连斩，外功攻击增加47点#r#cFF6600需要装备武器，需要狂暴状态
690	10502	天地同寿	2	2	0	5000	-1	-1	消耗mp	4	10	-1	狂暴状态	0	4	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	423	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：10点#r有效距离：2米#r瞬间释放#r狂暴三连斩，外功攻击增加78点#r#cFF6600需要装备武器，需要狂暴状态	消耗气：10点     有效距离：2米#r瞬间释放#r狂暴三连斩，外功攻击增加78点#r#cFF6600需要装备武器，需要狂暴状态
691	10503	天地同寿	3	3	0	5000	-1	-1	消耗mp	4	14	-1	狂暴状态	0	4	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	424	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：14点#r有效距离：2米#r瞬间释放#r狂暴三连斩，外功攻击增加108点#r#cFF6600需要装备武器，需要狂暴状态	消耗气：14点     有效距离：2米#r瞬间释放#r狂暴三连斩，外功攻击增加108点#r#cFF6600需要装备武器，需要狂暴状态
692	10504	天地同寿	4	4	0	5000	-1	-1	消耗mp	4	18	-1	狂暴状态	0	4	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	425	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：18点#r有效距离：2米#r瞬间释放#r狂暴三连斩，外功攻击增加139点#r#cFF6600需要装备武器，需要狂暴状态	消耗气：18点     有效距离：2米#r瞬间释放#r狂暴三连斩，外功攻击增加139点#r#cFF6600需要装备武器，需要狂暴状态
693	10505	天地同寿	5	5	0	5000	-1	-1	消耗mp	4	22	-1	狂暴状态	0	4	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	426	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：23点#r有效距离：2米#r瞬间释放#r狂暴三连斩，外功攻击增加170点#r#cFF6600需要装备武器，需要狂暴状态	消耗气：23点     有效距离：2米#r瞬间释放#r狂暴三连斩，外功攻击增加170点#r#cFF6600需要装备武器，需要狂暴状态
694	10506	天地同寿	6	6	0	5000	-1	-1	消耗mp	4	26	-1	狂暴状态	0	4	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	427	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：26点#r有效距离：2米#r瞬间释放#r狂暴三连斩，外功攻击增加201点#r#cFF6600需要装备武器，需要狂暴状态	消耗气：26点     有效距离：2米#r瞬间释放#r狂暴三连斩，外功攻击增加201点#r#cFF6600需要装备武器，需要狂暴状态
695	10507	天地同寿	7	7	0	5000	-1	-1	消耗mp	4	30	-1	狂暴状态	0	4	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	428	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：30点#r有效距离：2米#r瞬间释放#r狂暴三连斩，外功攻击增加232点#r#cFF6600需要装备武器，需要狂暴状态	消耗气：30点     有效距离：2米#r瞬间释放#r狂暴三连斩，外功攻击增加232点#r#cFF6600需要装备武器，需要狂暴状态
696	10508	天地同寿	8	8	0	5000	-1	-1	消耗mp	4	34	-1	狂暴状态	0	4	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	429	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：34点#r有效距离：2米#r瞬间释放#r狂暴三连斩，外功攻击增加262点#r#cFF6600需要装备武器，需要狂暴状态	消耗气：34点     有效距离：2米#r瞬间释放#r狂暴三连斩，外功攻击增加262点#r#cFF6600需要装备武器，需要狂暴状态
697	10509	天地同寿	9	9	0	5000	-1	-1	消耗mp	4	38	-1	狂暴状态	0	4	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	430	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：38点#r有效距离：2米#r瞬间释放#r狂暴三连斩，外功攻击增加293点#r#cFF6600需要装备武器，需要狂暴状态	消耗气：38点     有效距离：2米#r瞬间释放#r狂暴三连斩，外功攻击增加293点#r#cFF6600需要装备武器，需要狂暴状态
698	10510	天地同寿	10	10	0	5000	-1	-1	消耗mp	4	42	-1	狂暴状态	0	4	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	431	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：43点#r有效距离：2米#r瞬间释放#r狂暴三连斩，外功攻击增加324点#r#cFF6600需要装备武器，需要狂暴状态	消耗气：43点     有效距离：2米#r瞬间释放#r狂暴三连斩，外功攻击增加324点#r#cFF6600需要装备武器，需要狂暴状态
699	10511	天地同寿	11	11	0	5000	-1	-1	消耗mp	4	46	-1	狂暴状态	0	4	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	432	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：46点#r有效距离：2米#r瞬间释放#r狂暴三连斩，外功攻击增加355点#r#cFF6600需要装备武器，需要狂暴状态	消耗气：46点     有效距离：2米#r瞬间释放#r狂暴三连斩，外功攻击增加355点#r#cFF6600需要装备武器，需要狂暴状态
700	10512	天地同寿	12	12	0	5000	-1	-1	消耗mp	4	50	-1	狂暴状态	0	4	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	433	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：51点#r有效距离：2米#r瞬间释放#r狂暴三连斩，外功攻击增加386点#r#cFF6600需要装备武器，需要狂暴状态	消耗气：51点     有效距离：2米#r瞬间释放#r狂暴三连斩，外功攻击增加386点#r#cFF6600需要装备武器，需要狂暴状态
701	10601	五星连珠	1	1	0	45000	-1	-1	消耗mp	4	20	-1	驱散原有状态	9	4	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	434	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：11点#r瞬间释放#r冷却时间：45秒#r进入狂暴状态，牺牲外功、内功防御各5点，换取10点外功攻击，持续30秒#r#cFF6600与怒发冲冠共同冷却时间，且不能与其他狂暴状态同时作用	消耗气：11点#r瞬间释放     冷却时间：45秒#r进入狂暴状态，牺牲外功、内功防御各5点，换取10点外功攻击，持续30秒#r#cFF6600与怒发冲冠共同冷却时间，且不能与其他狂暴状态同时作用
702	10602	五星连珠	2	2	0	45000	-1	-1	消耗mp	4	23	-1	驱散原有状态	9	4	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	435	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：19点#r瞬间释放#r冷却时间：45秒#r进入狂暴状态，牺牲外功、内功防御各10点，换取20点外功攻击，持续30秒#r#cFF6600与怒发冲冠共同冷却时间，且不能与其他狂暴状态同时作用	消耗气：19点#r瞬间释放     冷却时间：45秒#r进入狂暴状态，牺牲外功、内功防御各10点，换取20点外功攻击，持续30秒#r#cFF6600与怒发冲冠共同冷却时间，且不能与其他狂暴状态同时作用
703	10603	五星连珠	3	3	0	45000	-1	-1	消耗mp	4	26	-1	驱散原有状态	9	4	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	436	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：26点#r瞬间释放#r冷却时间：45秒#r进入狂暴状态，牺牲外功、内功防御各15点，换取30点外功攻击，持续30秒#r#cFF6600与怒发冲冠共同冷却时间，且不能与其他狂暴状态同时作用	消耗气：26点#r瞬间释放     冷却时间：45秒#r进入狂暴状态，牺牲外功、内功防御各15点，换取30点外功攻击，持续30秒#r#cFF6600与怒发冲冠共同冷却时间，且不能与其他狂暴状态同时作用
704	10604	五星连珠	4	4	0	45000	-1	-1	消耗mp	4	29	-1	驱散原有状态	9	4	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	437	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：33点#r瞬间释放#r冷却时间：45秒#r进入狂暴状态，牺牲外功、内功防御各20点，换取40点外功攻击，持续30秒#r#cFF6600与怒发冲冠共同冷却时间，且不能与其他狂暴状态同时作用	消耗气：33点#r瞬间释放     冷却时间：45秒#r进入狂暴状态，牺牲外功、内功防御各20点，换取40点外功攻击，持续30秒#r#cFF6600与怒发冲冠共同冷却时间，且不能与其他狂暴状态同时作用
705	10605	五星连珠	5	5	0	45000	-1	-1	消耗mp	4	32	-1	驱散原有状态	9	4	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	438	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：40点#r瞬间释放#r冷却时间：45秒#r进入狂暴状态，牺牲外功、内功防御各25点，换取50点外功攻击，持续30秒#r#cFF6600与怒发冲冠共同冷却时间，且不能与其他狂暴状态同时作用	消耗气：40点#r瞬间释放     冷却时间：45秒#r进入狂暴状态，牺牲外功、内功防御各25点，换取50点外功攻击，持续30秒#r#cFF6600与怒发冲冠共同冷却时间，且不能与其他狂暴状态同时作用
706	10606	五星连珠	6	6	0	45000	-1	-1	消耗mp	4	35	-1	驱散原有状态	9	4	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	439	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：48点#r瞬间释放#r冷却时间：45秒#r进入狂暴状态，牺牲外功、内功防御各30点，换取60点外功攻击，持续30秒#r#cFF6600与怒发冲冠共同冷却时间，且不能与其他狂暴状态同时作用	消耗气：48点#r瞬间释放     冷却时间：45秒#r进入狂暴状态，牺牲外功、内功防御各30点，换取60点外功攻击，持续30秒#r#cFF6600与怒发冲冠共同冷却时间，且不能与其他狂暴状态同时作用
707	10607	五星连珠	7	7	0	45000	-1	-1	消耗mp	4	38	-1	驱散原有状态	9	4	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	440	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：56点#r瞬间释放#r冷却时间：45秒#r进入狂暴状态，牺牲外功、内功防御各35点，换取70点外功攻击，持续30秒#r#cFF6600与怒发冲冠共同冷却时间，且不能与其他狂暴状态同时作用	消耗气：56点#r瞬间释放     冷却时间：45秒#r进入狂暴状态，牺牲外功、内功防御各35点，换取70点外功攻击，持续30秒#r#cFF6600与怒发冲冠共同冷却时间，且不能与其他狂暴状态同时作用
708	10608	五星连珠	8	8	0	45000	-1	-1	消耗mp	4	41	-1	驱散原有状态	9	4	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	441	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：63点#r瞬间释放#r冷却时间：45秒#r进入狂暴状态，牺牲外功、内功防御各40点，换取80点外功攻击，持续30秒#r#cFF6600与怒发冲冠共同冷却时间，且不能与其他狂暴状态同时作用	消耗气：63点#r瞬间释放     冷却时间：45秒#r进入狂暴状态，牺牲外功、内功防御各40点，换取80点外功攻击，持续30秒#r#cFF6600与怒发冲冠共同冷却时间，且不能与其他狂暴状态同时作用
709	10609	五星连珠	9	9	0	45000	-1	-1	消耗mp	4	44	-1	驱散原有状态	9	4	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	442	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：70点#r瞬间释放#r冷却时间：45秒#r进入狂暴状态，牺牲外功、内功防御各45点，换取90点外功攻击，持续30秒#r#cFF6600与怒发冲冠共同冷却时间，且不能与其他狂暴状态同时作用	消耗气：70点#r瞬间释放     冷却时间：45秒#r进入狂暴状态，牺牲外功、内功防御各45点，换取90点外功攻击，持续30秒#r#cFF6600与怒发冲冠共同冷却时间，且不能与其他狂暴状态同时作用
710	10610	五星连珠	10	10	0	45000	-1	-1	消耗mp	4	47	-1	驱散原有状态	9	4	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	443	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：77点#r瞬间释放#r冷却时间：45秒#r进入狂暴状态，牺牲外功、内功防御各50点，换取100点外功攻击，持续30秒#r#cFF6600与怒发冲冠共同冷却时间，且不能与其他狂暴状态同时作用	消耗气：77点#r瞬间释放     冷却时间：45秒#r进入狂暴状态，牺牲外功、内功防御各50点，换取100点外功攻击，持续30秒#r#cFF6600与怒发冲冠共同冷却时间，且不能与其他狂暴状态同时作用
711	10611	五星连珠	11	11	0	45000	-1	-1	消耗mp	4	50	-1	驱散原有状态	9	4	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	444	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：85点#r瞬间释放#r冷却时间：45秒#r进入狂暴状态，牺牲外功、内功防御各55点，换取110点外功攻击，持续30秒#r#cFF6600与怒发冲冠共同冷却时间，且不能与其他狂暴状态同时作用	消耗气：85点#r瞬间释放     冷却时间：45秒#r进入狂暴状态，牺牲外功、内功防御各55点，换取110点外功攻击，持续30秒#r#cFF6600与怒发冲冠共同冷却时间，且不能与其他狂暴状态同时作用
712	10612	五星连珠	12	12	0	45000	-1	-1	消耗mp	4	53	-1	驱散原有状态	9	4	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	445	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：93点#r瞬间释放#r冷却时间：45秒#r进入狂暴状态，牺牲外功、内功防御各60点，换取120点外功攻击，持续30秒#r#cFF6600与怒发冲冠共同冷却时间，且不能与其他狂暴状态同时作用	消耗气：93点#r瞬间释放     冷却时间：45秒#r进入狂暴状态，牺牲外功、内功防御各60点，换取120点外功攻击，持续30秒#r#cFF6600与怒发冲冠共同冷却时间，且不能与其他狂暴状态同时作用
713	10701	火星冲日	1	1	0	5000	-1	-1	消耗mp	4	7	-1	五星状态	0	5	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	446	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：9点#r有效距离：2米#r瞬间释放#r冷却时间：5秒#r强力反击，增加外功攻击86点#r#cFF6600需要装备武器，需要狂暴：五星连珠	消耗气：9点     有效距离：2米#r瞬间释放     冷却时间：5秒#r强力反击，增加外功攻击86点#r#cFF6600需要装备武器，需要狂暴：五星连珠
714	10702	火星冲日	2	2	0	5000	-1	-1	消耗mp	4	10	-1	五星状态	0	5	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	447	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：15点#r有效距离：2米#r瞬间释放#r冷却时间：5秒#r强力反击，增加外功攻击142点#r#cFF6600需要装备武器，需要狂暴：五星连珠	消耗气：15点     有效距离：2米#r瞬间释放     冷却时间：5秒#r强力反击，增加外功攻击142点#r#cFF6600需要装备武器，需要狂暴：五星连珠
715	10703	火星冲日	3	3	0	5000	-1	-1	消耗mp	4	13	-1	五星状态	0	5	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	448	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：21点#r有效距离：2米#r瞬间释放#r冷却时间：5秒#r强力反击，增加外功攻击198点#r#cFF6600需要装备武器，需要狂暴：五星连珠	消耗气：21点     有效距离：2米#r瞬间释放     冷却时间：5秒#r强力反击，增加外功攻击198点#r#cFF6600需要装备武器，需要狂暴：五星连珠
716	10704	火星冲日	4	4	0	5000	-1	-1	消耗mp	4	16	-1	五星状态	0	5	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	449	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：27点#r有效距离：2米#r瞬间释放#r冷却时间：5秒#r强力反击，增加外功攻击254点#r#cFF6600需要装备武器，需要狂暴：五星连珠	消耗气：27点     有效距离：2米#r瞬间释放     冷却时间：5秒#r强力反击，增加外功攻击254点#r#cFF6600需要装备武器，需要狂暴：五星连珠
717	10705	火星冲日	5	5	0	5000	-1	-1	消耗mp	4	19	-1	五星状态	0	5	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	450	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：34点#r有效距离：2米#r瞬间释放#r冷却时间：5秒#r强力反击，增加外功攻击310点#r#cFF6600需要装备武器，需要狂暴：五星连珠	消耗气：34点     有效距离：2米#r瞬间释放     冷却时间：5秒#r强力反击，增加外功攻击310点#r#cFF6600需要装备武器，需要狂暴：五星连珠
718	10706	火星冲日	6	6	0	5000	-1	-1	消耗mp	4	22	-1	五星状态	0	5	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	451	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：40点#r有效距离：2米#r瞬间释放#r冷却时间：5秒#r强力反击，增加外功攻击366点#r#cFF6600需要装备武器，需要狂暴：五星连珠	消耗气：40点     有效距离：2米#r瞬间释放     冷却时间：5秒#r强力反击，增加外功攻击366点#r#cFF6600需要装备武器，需要狂暴：五星连珠
719	10707	火星冲日	7	7	0	5000	-1	-1	消耗mp	4	25	-1	五星状态	0	5	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	452	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：46点#r有效距离：2米#r瞬间释放#r冷却时间：5秒#r强力反击，增加外功攻击422点#r#cFF6600需要装备武器，需要狂暴：五星连珠	消耗气：46点     有效距离：2米#r瞬间释放     冷却时间：5秒#r强力反击，增加外功攻击422点#r#cFF6600需要装备武器，需要狂暴：五星连珠
720	10708	火星冲日	8	8	0	5000	-1	-1	消耗mp	4	28	-1	五星状态	0	5	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	453	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：53点#r有效距离：2米#r瞬间释放#r冷却时间：5秒#r强力反击，增加外功攻击478点#r#cFF6600需要装备武器，需要狂暴：五星连珠	消耗气：53点     有效距离：2米#r瞬间释放     冷却时间：5秒#r强力反击，增加外功攻击478点#r#cFF6600需要装备武器，需要狂暴：五星连珠
721	10709	火星冲日	9	9	0	5000	-1	-1	消耗mp	4	31	-1	五星状态	0	5	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	454	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：58点#r有效距离：2米#r瞬间释放#r冷却时间：5秒#r强力反击，增加外功攻击534点#r#cFF6600需要装备武器，需要狂暴：五星连珠	消耗气：58点     有效距离：2米#r瞬间释放     冷却时间：5秒#r强力反击，增加外功攻击534点#r#cFF6600需要装备武器，需要狂暴：五星连珠
722	10710	火星冲日	10	10	0	5000	-1	-1	消耗mp	4	34	-1	五星状态	0	5	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	455	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：65点#r有效距离：2米#r瞬间释放#r冷却时间：5秒#r强力反击，增加外功攻击590点#r#cFF6600需要装备武器，需要狂暴：五星连珠	消耗气：65点     有效距离：2米#r瞬间释放     冷却时间：5秒#r强力反击，增加外功攻击590点#r#cFF6600需要装备武器，需要狂暴：五星连珠
723	10711	火星冲日	11	11	0	5000	-1	-1	消耗mp	4	37	-1	五星状态	0	5	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	456	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：71点#r有效距离：2米#r瞬间释放#r冷却时间：5秒#r强力反击，增加外功攻击646点#r#cFF6600需要装备武器，需要狂暴：五星连珠	消耗气：71点     有效距离：2米#r瞬间释放     冷却时间：5秒#r强力反击，增加外功攻击646点#r#cFF6600需要装备武器，需要狂暴：五星连珠
724	10712	火星冲日	12	12	0	5000	-1	-1	消耗mp	4	40	-1	五星状态	0	5	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	457	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气：76点#r有效距离：2米#r瞬间释放#r冷却时间：5秒#r强力反击，增加外功攻击702点#r#cFF6600需要装备武器，需要狂暴：五星连珠	消耗气：76点     有效距离：2米#r瞬间释放     冷却时间：5秒#r强力反击，增加外功攻击702点#r#cFF6600需要装备武器，需要狂暴：五星连珠
725	10801	七星落长空	1	1	0	45000	-1	-1	消耗mp	4	22	-1	血少于30%	1	30	-1	驱散原有状态	9	4	-1	-1			|生效一次的附加效果1	458	|引导周期的附加效果1	-1	|生效一次的附加效果2	484	|引导周期的附加效果2	-1																	消耗气：14点#r瞬间释放#r冷却时间：45秒#r进入狂暴状态，攻击速度提高30%，会心率提高2%，免疫恐惧、迟缓、冰封、睡眠，持续15秒；发动时刻解除各种控制#r#cFF6600血少于30%可使用，不能与其他狂暴状态同时作用	消耗气：14点#r瞬间释放     冷却时间：45秒#r进入狂暴状态，攻击速度提高30%，会心率提高2%，免疫恐惧、迟缓、冰封、睡眠，持续15秒；发动时刻解除各种控制#r#cFF6600血少于30%可使用，不能与其他狂暴状态同时作用
