INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING
1248	起死回生	54	STD_IMPACT_054	0	18	-1	120	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	复活后的HP%	10	复活后的MP%	10	复活后的Rage%	0																											
1249	经脉逆行	8	STD_IMPACT_008	0	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	攻击还是回避；0：回避，1：攻击	0																															狮子吼
1250	移魂大法(昏迷)	14	STD_IMPACT_014	1	15	15	10	-1	0	1	0	0	0	1	0	0	0	10000	0	0	0	0	0	0	CanAction1标记	0	CanAction2标记	0	CanMove	0	Unbreakable	0	移动速度修正%	0	隐身级别修正	0	反隐级别修正	0	变身ID	-1	骑乘ID	-1															
1251	易筋锻骨(护体)	30	STD_IMPACT_030	1	123	122	10	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	|护体生命值	300	|伤害吸收率|	30	修正的目标效果集合ID	17	|效果修正率|	10	自爆扫描半径|	4	作用对象数目|	3	自爆效果索引|无...	960																			
1252	易筋锻骨(护体)	30	STD_IMPACT_030	1	123	122	20	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	|护体生命值	400	|伤害吸收率|	30	修正的目标效果集合ID	17	|效果修正率|	10	自爆扫描半径|	4	作用对象数目|	3	自爆效果索引|无...	960																			
1253	易筋锻骨(护体)	30	STD_IMPACT_030	1	123	122	30	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	|护体生命值	500	|伤害吸收率|	30	修正的目标效果集合ID	17	|效果修正率|	10	自爆扫描半径|	4	作用对象数目|	3	自爆效果索引|无...	960																			
1254	易筋锻骨(护体)	30	STD_IMPACT_030	1	123	122	40	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	|护体生命值	600	|伤害吸收率|	30	修正的目标效果集合ID	17	|效果修正率|	10	自爆扫描半径|	4	作用对象数目|	3	自爆效果索引|无...	960																			
1255	易筋锻骨(护体)	30	STD_IMPACT_030	1	123	122	50	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	|护体生命值	700	|伤害吸收率|	30	修正的目标效果集合ID	17	|效果修正率|	10	自爆扫描半径|	4	作用对象数目|	3	自爆效果索引|无...	960																			
1256	易筋锻骨(护体)	30	STD_IMPACT_030	1	123	122	60	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	|护体生命值	800	|伤害吸收率|	30	修正的目标效果集合ID	17	|效果修正率|	10	自爆扫描半径|	4	作用对象数目|	3	自爆效果索引|无...	960																			
1257	易筋锻骨(护体)	30	STD_IMPACT_030	1	123	122	70	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	|护体生命值	900	|伤害吸收率|	30	修正的目标效果集合ID	17	|效果修正率|	10	自爆扫描半径|	4	作用对象数目|	3	自爆效果索引|无...	960																			
1258	易筋锻骨(护体)	30	STD_IMPACT_030	1	123	122	80	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	|护体生命值	1000	|伤害吸收率|	30	修正的目标效果集合ID	17	|效果修正率|	10	自爆扫描半径|	4	作用对象数目|	3	自爆效果索引|无...	960																			
1259	易筋锻骨(护体)	30	STD_IMPACT_030	1	123	122	90	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	|护体生命值	1100	|伤害吸收率|	30	修正的目标效果集合ID	17	|效果修正率|	10	自爆扫描半径|	4	作用对象数目|	3	自爆效果索引|无...	960																			
1260	易筋锻骨(护体)	30	STD_IMPACT_030	1	123	122	100	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	|护体生命值	1200	|伤害吸收率|	30	修正的目标效果集合ID	17	|效果修正率|	10	自爆扫描半径|	4	作用对象数目|	3	自爆效果索引|无...	960																			
1261	易筋锻骨(护体)	30	STD_IMPACT_030	1	123	122	110	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	|护体生命值	1300	|伤害吸收率|	30	修正的目标效果集合ID	17	|效果修正率|	10	自爆扫描半径|	4	作用对象数目|	3	自爆效果索引|无...	960																			
1262	易筋锻骨(护体)	30	STD_IMPACT_030	1	123	122	120	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	|护体生命值	1400	|伤害吸收率|	30	修正的目标效果集合ID	17	|效果修正率|	10	自爆扫描半径|	4	作用对象数目|	3	自爆效果索引|无...	960																			
1263	万岳朝宗(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	21	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					铁索横江(加内攻)
1264	万岳朝宗(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	36	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					铁索横江(加内攻)
1265	万岳朝宗(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	54	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					铁索横江(加内攻)
1266	万岳朝宗(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	72	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					铁索横江(加内攻)
1267	万岳朝宗(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	90	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					铁索横江(加内攻)
1268	万岳朝宗(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	108	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					铁索横江(加内攻)
1269	万岳朝宗(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	126	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					铁索横江(加内攻)
1270	万岳朝宗(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	144	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					铁索横江(加内攻)
1271	万岳朝宗(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	162	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					铁索横江(加内攻)
1272	万岳朝宗(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	180	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					铁索横江(加内攻)
1273	万岳朝宗(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	198	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					铁索横江(加内攻)
1274	万岳朝宗(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	216	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					铁索横江(加内攻)
1275	万岳朝宗(僵硬)	14	STD_IMPACT_014	1	23	23	10	-1	0	1	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	CanAction1标记	-1	CanAction2标记	-1	CanMove	1	Unbreakable	-1	移动速度修正%	-30	隐身级别修正	0	反隐级别修正	0	变身ID	-1	骑乘ID	-1															
1276	万岳朝宗(僵硬)	14	STD_IMPACT_014	1	23	23	20	-1	0	1	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	CanAction1标记	-1	CanAction2标记	-1	CanMove	1	Unbreakable	-1	移动速度修正%	-30	隐身级别修正	0	反隐级别修正	0	变身ID	-1	骑乘ID	-1															
1277	万岳朝宗(僵硬)	14	STD_IMPACT_014	1	23	23	30	-1	0	1	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	CanAction1标记	-1	CanAction2标记	-1	CanMove	1	Unbreakable	-1	移动速度修正%	-30	隐身级别修正	0	反隐级别修正	0	变身ID	-1	骑乘ID	-1															
1278	万岳朝宗(僵硬)	14	STD_IMPACT_014	1	23	23	40	-1	0	1	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	CanAction1标记	-1	CanAction2标记	-1	CanMove	1	Unbreakable	-1	移动速度修正%	-30	隐身级别修正	0	反隐级别修正	0	变身ID	-1	骑乘ID	-1															
1279	万岳朝宗(僵硬)	14	STD_IMPACT_014	1	23	23	50	-1	0	1	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	CanAction1标记	-1	CanAction2标记	-1	CanMove	1	Unbreakable	-1	移动速度修正%	-30	隐身级别修正	0	反隐级别修正	0	变身ID	-1	骑乘ID	-1															
1280	万岳朝宗(僵硬)	14	STD_IMPACT_014	1	23	23	60	-1	0	1	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	CanAction1标记	-1	CanAction2标记	-1	CanMove	1	Unbreakable	-1	移动速度修正%	-30	隐身级别修正	0	反隐级别修正	0	变身ID	-1	骑乘ID	-1															
1281	万岳朝宗(僵硬)	14	STD_IMPACT_014	1	23	23	70	-1	0	1	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	CanAction1标记	-1	CanAction2标记	-1	CanMove	1	Unbreakable	-1	移动速度修正%	-30	隐身级别修正	0	反隐级别修正	0	变身ID	-1	骑乘ID	-1															
1282	万岳朝宗(僵硬)	14	STD_IMPACT_014	1	23	23	80	-1	0	1	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	CanAction1标记	-1	CanAction2标记	-1	CanMove	1	Unbreakable	-1	移动速度修正%	-30	隐身级别修正	0	反隐级别修正	0	变身ID	-1	骑乘ID	-1															
1283	万岳朝宗(僵硬)	14	STD_IMPACT_014	1	23	23	90	-1	0	1	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	CanAction1标记	-1	CanAction2标记	-1	CanMove	1	Unbreakable	-1	移动速度修正%	-30	隐身级别修正	0	反隐级别修正	0	变身ID	-1	骑乘ID	-1															
1284	万岳朝宗(僵硬)	14	STD_IMPACT_014	1	23	23	100	-1	0	1	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	CanAction1标记	-1	CanAction2标记	-1	CanMove	1	Unbreakable	-1	移动速度修正%	-30	隐身级别修正	0	反隐级别修正	0	变身ID	-1	骑乘ID	-1															
1285	万岳朝宗(僵硬)	14	STD_IMPACT_014	1	23	23	110	-1	0	1	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	CanAction1标记	-1	CanAction2标记	-1	CanMove	1	Unbreakable	-1	移动速度修正%	-30	隐身级别修正	0	反隐级别修正	0	变身ID	-1	骑乘ID	-1															
1286	万岳朝宗(僵硬)	14	STD_IMPACT_014	1	23	23	120	-1	0	1	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	CanAction1标记	-1	CanAction2标记	-1	CanMove	1	Unbreakable	-1	移动速度修正%	-30	隐身级别修正	0	反隐级别修正	0	变身ID	-1	骑乘ID	-1															
1287	延年益寿(加强护体生命)	19	STD_IMPACT_019	1	125	125	10	1	0	0	1	0	0	0	0	0	0	30000	0	0	0	0	0	0	激活次数，-1是无限次	1	目标效果集合ID	14	威力修正率	30	持续时间修正率	-1																									加强下一次伤害
1288	延年益寿(加强护体生命)	19	STD_IMPACT_019	1	125	125	20	1	0	0	1	0	0	0	0	0	0	30000	0	0	0	0	0	0	激活次数，-1是无限次	1	目标效果集合ID	14	威力修正率	30	持续时间修正率	-1																									加强下一次伤害
1289	延年益寿(加强护体生命)	19	STD_IMPACT_019	1	125	125	30	1	0	0	1	0	0	0	0	0	0	30000	0	0	0	0	0	0	激活次数，-1是无限次	1	目标效果集合ID	14	威力修正率	30	持续时间修正率	-1																									加强下一次伤害
1290	延年益寿(加强护体生命)	19	STD_IMPACT_019	1	125	125	40	1	0	0	1	0	0	0	0	0	0	30000	0	0	0	0	0	0	激活次数，-1是无限次	1	目标效果集合ID	14	威力修正率	30	持续时间修正率	-1																									加强下一次伤害
1291	延年益寿(加强护体生命)	19	STD_IMPACT_019	1	125	125	50	1	0	0	1	0	0	0	0	0	0	30000	0	0	0	0	0	0	激活次数，-1是无限次	1	目标效果集合ID	14	威力修正率	30	持续时间修正率	-1																									加强下一次伤害
1292	延年益寿(加强护体生命)	19	STD_IMPACT_019	1	125	125	60	1	0	0	1	0	0	0	0	0	0	30000	0	0	0	0	0	0	激活次数，-1是无限次	1	目标效果集合ID	14	威力修正率	30	持续时间修正率	-1																									加强下一次伤害
1293	延年益寿(加强护体生命)	19	STD_IMPACT_019	1	125	125	70	1	0	0	1	0	0	0	0	0	0	30000	0	0	0	0	0	0	激活次数，-1是无限次	1	目标效果集合ID	14	威力修正率	30	持续时间修正率	-1																									加强下一次伤害
1294	延年益寿(加强护体生命)	19	STD_IMPACT_019	1	125	125	80	1	0	0	1	0	0	0	0	0	0	30000	0	0	0	0	0	0	激活次数，-1是无限次	1	目标效果集合ID	14	威力修正率	30	持续时间修正率	-1																									加强下一次伤害
1295	延年益寿(加强护体生命)	19	STD_IMPACT_019	1	125	125	90	1	0	0	1	0	0	0	0	0	0	30000	0	0	0	0	0	0	激活次数，-1是无限次	1	目标效果集合ID	14	威力修正率	30	持续时间修正率	-1																									加强下一次伤害
1296	延年益寿(加强护体生命)	19	STD_IMPACT_019	1	125	125	100	1	0	0	1	0	0	0	0	0	0	30000	0	0	0	0	0	0	激活次数，-1是无限次	1	目标效果集合ID	14	威力修正率	30	持续时间修正率	-1																									加强下一次伤害
1297	延年益寿(加强护体生命)	19	STD_IMPACT_019	1	125	125	110	1	0	0	1	0	0	0	0	0	0	30000	0	0	0	0	0	0	激活次数，-1是无限次	1	目标效果集合ID	14	威力修正率	30	持续时间修正率	-1																									加强下一次伤害
1298	延年益寿(加强护体生命)	19	STD_IMPACT_019	1	125	125	120	1	0	0	1	0	0	0	0	0	0	30000	0	0	0	0	0	0	激活次数，-1是无限次	1	目标效果集合ID	14	威力修正率	30	持续时间修正率	-1																									加强下一次伤害
1299	生命之泉(加血)	5	STD_IMPACT_005	0	10	-1	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改百分率	100	|MP修改百分率|	0	Rage修改百分率	0	|StrikePoint修改百分率	0																									
1300	生命之泉(解状态)	18	STD_IMPACT_018	0	14	-1	120	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	|驱散级别	120	|驱散个数	7	驱散集合1	8	驱散集合2	-1	驱散集合3	-1	驱散集合4	-1	驱散集合5	-1	驱散集合6	-1	驱散集合7	-1	驱散集合8	-1													
#	#	#	#																																																						
1351	蓝砂手(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	17	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1352	蓝砂手(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	32	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1353	蓝砂手(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	48	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1354	蓝砂手(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	63	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1355	蓝砂手(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	80	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1356	蓝砂手(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	95	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1357	蓝砂手(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	111	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1358	蓝砂手(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	126	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1359	蓝砂手(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	143	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1360	蓝砂手(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	158	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1361	蓝砂手(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	174	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1362	蓝砂手(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	189	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1363	腐尸毒(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	11	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1364	腐尸毒(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	21	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1365	腐尸毒(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	32	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1366	腐尸毒(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	42	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1367	腐尸毒(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	53	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1368	腐尸毒(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	63	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1369	腐尸毒(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	74	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1370	腐尸毒(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	84	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1371	腐尸毒(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	95	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1372	腐尸毒(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	105	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1373	腐尸毒(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	116	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1374	腐尸毒(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	126	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1375	七星透骨(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	42	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1376	七星透骨(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	80	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1377	七星透骨(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	120	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1378	七星透骨(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	158	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1379	七星透骨(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	200	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1380	七星透骨(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	237	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1381	七星透骨(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	278	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1382	七星透骨(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	315	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1383	七星透骨(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	357	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1384	七星透骨(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	395	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1385	七星透骨(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	435	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1386	七星透骨(加内攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害域	473	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加内攻
1387	饮鸩止渴(加强伤害)	19	STD_IMPACT_019	1	130	130	10	1	0	0	1	0	0	0	0	0	0	15000	0	0	0	0	0	0	激活次数，-1是无限次	1	目标效果集合ID	18	威力修正率	50	持续时间修正率	-1																									加强下一次伤害
1388	饮鸩止渴(加强伤害)	19	STD_IMPACT_019	1	130	130	20	1	0	0	1	0	0	0	0	0	0	15000	0	0	0	0	0	0	激活次数，-1是无限次	1	目标效果集合ID	18	威力修正率	53	持续时间修正率	-1																									加强下一次伤害
1389	饮鸩止渴(加强伤害)	19	STD_IMPACT_019	1	130	130	30	1	0	0	1	0	0	0	0	0	0	15000	0	0	0	0	0	0	激活次数，-1是无限次	1	目标效果集合ID	18	威力修正率	56	持续时间修正率	-1																									加强下一次伤害
1390	饮鸩止渴(加强伤害)	19	STD_IMPACT_019	1	130	130	40	1	0	0	1	0	0	0	0	0	0	15000	0	0	0	0	0	0	激活次数，-1是无限次	1	目标效果集合ID	18	威力修正率	59	持续时间修正率	-1																									加强下一次伤害
1391	饮鸩止渴(加强伤害)	19	STD_IMPACT_019	1	130	130	50	1	0	0	1	0	0	0	0	0	0	15000	0	0	0	0	0	0	激活次数，-1是无限次	1	目标效果集合ID	18	威力修正率	62	持续时间修正率	-1																									加强下一次伤害
1392	饮鸩止渴(加强伤害)	19	STD_IMPACT_019	1	130	130	60	1	0	0	1	0	0	0	0	0	0	15000	0	0	0	0	0	0	激活次数，-1是无限次	1	目标效果集合ID	18	威力修正率	65	持续时间修正率	-1																									加强下一次伤害
1393	饮鸩止渴(加强伤害)	19	STD_IMPACT_019	1	130	130	70	1	0	0	1	0	0	0	0	0	0	15000	0	0	0	0	0	0	激活次数，-1是无限次	1	目标效果集合ID	18	威力修正率	68	持续时间修正率	-1																									加强下一次伤害
1394	饮鸩止渴(加强伤害)	19	STD_IMPACT_019	1	130	130	80	1	0	0	1	0	0	0	0	0	0	15000	0	0	0	0	0	0	激活次数，-1是无限次	1	目标效果集合ID	18	威力修正率	71	持续时间修正率	-1																									加强下一次伤害
1395	饮鸩止渴(加强伤害)	19	STD_IMPACT_019	1	130	130	90	1	0	0	1	0	0	0	0	0	0	15000	0	0	0	0	0	0	激活次数，-1是无限次	1	目标效果集合ID	18	威力修正率	74	持续时间修正率	-1																									加强下一次伤害
